ERROR: 05-30 09:40:00: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbfm', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:40:00: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbfo', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:40:00: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbfp', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:40:00: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbfr', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:40:00: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbfs', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff

